Timestamp,What School does your child attend?,My child or children have been attending this school for . . .,My child(ren) like(s) going to school.,My child's social-emotional needs are being met and (s)he feels safe at this school.,My child is encouraged to take positive academic risks at this school.,I feel welcome at my child's school.,My child's teachers communicate with me effectively.,This school communicates with me effectively.,I understand how to support my child's learning at home.,My school offers support to help me help my child's learning.,My child's school encourages me to actively engage in my child's education.,I'm aware of the traits my child's school is trying to develop in my child.,My child's school does things that help them develop these traits.,I see value in the way this school uses technology in teaching my child.,I believe my child's school experience is adequately preparing them for the real world.
2/11/2022 15:01:49,Canon Exploratory School (CES),Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/17/2022 17:09:59,Canon Exploratory School (CES),More than six years,Yes,Yes,Yes,Yes,No,Somewhat,Yes,No,Rarely,Yes,I'm not sure,Yes,Somewhat Disagree
2/22/2022 5:59:53,Canon Exploratory School (CES),Three to six years,Yes,Yes,Yes,Often,Yes,Somewhat,"No, but I'm willing to learn how to do this better",Yes,On occasion,Yes,Yes,Sort of,Somewhat agree
2/22/2022 11:51:22,Canon Exploratory School (CES),More than six years,Yes,I'm not sure,Yes,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
1/25/2022 17:01:51,CCHS,One to three years,Yes,I'm not sure,I'm not sure,Yes,No,Not really,Yes,Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat agree
1/26/2022 8:15:21,CCHS,One to three years,Yes,Yes,Yes,Not often,Yes,Somewhat,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Strongly agree
1/27/2022 10:53:04,CCHS,One to three years,Yes,No,Yes,Often,No,Somewhat,Yes,No,On occasion,Yes,No,No,Somewhat agree
1/31/2022 16:45:44,CCHS,Less than one year,Yes,Yes,Yes,No,No,No,"No, but I'm willing to learn how to do this better",Yes,Rarely,Yes,Yes,Yes,Somewhat agree
1/31/2022 20:13:28,CCHS,Less than one year,No,No,No,Yes,Yes,Yes,"No, but I'm willing to learn how to do this better",Yes,On occasion,No,I'm not sure,No,Neither agree nor disagree
2/2/2022 6:04:02,CCHS,One to three years,No,No,Yes,Not often,No,Somewhat,Yes,No,Rarely,Yes,Yes,Sort of,Somewhat agree
