Timestamp,What School does your child attend?,My child or children have been attending this school for . . .,My child(ren) like(s) going to school.,My child's social-emotional needs are being met and (s)he feels safe at this school.,My child is encouraged to take positive academic risks at this school.,I feel welcome at my child's school.,My child's teachers communicate with me effectively.,This school communicates with me effectively.,I understand how to support my child's learning at home.,My school offers support to help me help my child's learning.,My child's school encourages me to actively engage in my child's education.,I'm aware of the traits my child's school is trying to develop in my child.,My child's school does things that help them develop these traits.,I see value in the way this school uses technology in teaching my child.,I believe my child's school experience is adequately preparing them for the real world.
2/17/2022 17:23:57,CCHS,One to three years,I'm not sure,No,I'm not sure,No,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
2/17/2022 17:34:55,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Not really,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/17/2022 17:37:40,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 17:41:23,CCHS,One to three years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/17/2022 18:04:11,CCHS,One to three years,Yes,Yes,Yes,Yes,No,Not really,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
2/17/2022 18:12:56,CCHS,One to three years,Yes,I'm not sure,Yes,Often,No,Somewhat,Yes,Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat agree
2/17/2022 18:20:30,CCHS,One to three years,No,Yes,I'm not sure,No,Yes,Somewhat,Yes,Yes,Rarely,Yes,,Yes,Somewhat agree
2/17/2022 19:13:21,CCHS,One to three years,Yes,Yes,Yes,Yes,No,Somewhat,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Strongly agree
2/17/2022 19:49:44,CCHS,Less than one year,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,,,,,,Somewhat agree
2/17/2022 20:03:59,CCHS,One to three years,I'm not sure,Yes,I'm not sure,Not often,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,Yes,Sort of,Somewhat agree
2/17/2022 22:01:48,CCHS,One to three years,I'm not sure,No,Yes,Yes,No,Somewhat,"No, but I'm willing to learn how to do this better",Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/18/2022 5:53:28,CCHS,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
2/18/2022 10:33:43,CCHS,One to three years,Yes,Yes,Yes,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,No,I'm not sure,Yes,Neither agree nor disagree
2/18/2022 10:40:52,CCHS,Less than one year,Yes,Yes,I'm not sure,Not often,No,No,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,No,I'm not sure,Sort of,Somewhat Disagree
2/18/2022 10:48:42,CCHS,Less than one year,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/18/2022 12:09:40,CCHS,One to three years,Yes,No,No,Often,No,Somewhat,"Yes, but I'd like to learn more about how to do this",No,Never,No,No,Yes,Strongly disagree
2/18/2022 13:02:39,CCHS,Three to six years,No,No,No,Not often,No,No,Yes,No,Rarely,Yes,No,Sort of,Strongly disagree
2/18/2022 13:04:47,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/18/2022 13:05:13,CCHS,Three to six years,No,No,No,Not often,No,No,Yes,No,Rarely,No,No,No,Strongly disagree
2/19/2022 9:56:35,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/19/2022 13:26:12,CCHS,Three to six years,I'm not sure,Yes,I'm not sure,Often,No,Somewhat,No,Not that I am aware of,Rarely,Yes,Yes,Sort of,Somewhat agree
2/19/2022 18:25:38,CCHS,Less than one year,Yes,Yes,Yes,Not often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/19/2022 20:21:34,CCHS,One to three years,Yes,I'm not sure,I'm not sure,Not often,No,No,"No, but I'm willing to learn how to do this better",Not that I am aware of,Never,No,I'm not sure,Sort of,Neither agree nor disagree
2/20/2022 16:01:41,CCHS,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Not that I am aware of,Rarely,Yes,I'm not sure,No,Somewhat agree
2/21/2022 9:22:31,CCHS,One to three years,No,No,Yes,No,Yes,Not really,Yes,No,On occasion,Yes,Yes,Yes,Strongly disagree
2/21/2022 12:04:39,CCHS,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Rarely,Yes,I'm not sure,Yes,Somewhat agree
2/21/2022 15:22:54,CCHS,Less than one year,Yes,Yes,Yes,Often,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Strongly agree
2/21/2022 15:38:50,CCHS,Three to six years,Yes,Yes,No,Yes,No,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
2/21/2022 16:09:45,CCHS,One to three years,No,No,I'm not sure,Not often,No,Somewhat,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Strongly disagree
2/22/2022 3:08:04,CCHS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/22/2022 5:57:57,CCHS,Less than one year,No,I'm not sure,Yes,Often,Yes,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/22/2022 6:44:33,CCHS,One to three years,No,Yes,Yes,Yes,Yes,Somewhat,Yes,Not that I am aware of,Absolutely,Yes,I'm not sure,Yes,Strongly agree
2/22/2022 8:49:53,CCHS,More than six years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/22/2022 10:25:45,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Yes,Strongly agree
2/22/2022 11:58:32,CCHS,Less than one year,No,Yes,I'm not sure,Not often,No,Somewhat,Yes,Not that I am aware of,On occasion,No,No,No,Strongly disagree
2/23/2022 10:40:13,CCHS,One to three years,No,No,No,Not often,No,No,"Yes, but I'd like to learn more about how to do this",No,Never,No,No,No,Strongly disagree
2/23/2022 12:02:41,CCHS,One to three years,No,I'm not sure,I'm not sure,Not often,No,No,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,I'm not sure,Sort of,Neither agree nor disagree
2/23/2022 12:32:22,CCHS,Less than one year,No,Yes,Yes,Yes,No,Yes,Yes,Not that I am aware of,Never,No,I'm not sure,Sort of,Somewhat Disagree
2/23/2022 18:14:18,CCHS,One to three years,Yes,Yes,Yes,Not often,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
2/26/2022 17:07:17,CCHS,Three to six years,Yes,I'm not sure,Yes,Yes,No,Somewhat,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Somewhat agree
2/28/2022 20:12:10,CCHS,Three to six years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/26/2022 13:52:30,CCMS,Less than one year,Yes,I'm not sure,Yes,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,No,I'm not sure,Yes,Somewhat agree
2/1/2022 13:05:22,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/1/2022 16:24:46,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/1/2022 16:32:38,CCMS,Less than one year,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Sort of,Somewhat agree
2/2/2022 15:59:43,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/4/2022 9:01:36,CCMS,Less than one year,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/8/2022 15:13:57,CCMS,One to three years,No,No,No,Often,No,Not really,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,No,No,Yes,Neither agree nor disagree
2/8/2022 15:15:36,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/8/2022 19:32:20,CCMS,Three to six years,Yes,No,Yes,Often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,Yes,I'm not sure,Sort of,Somewhat Disagree
2/9/2022 7:01:09,CCMS,Less than one year,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/9/2022 11:21:32,CCMS,One to three years,No,Yes,I'm not sure,Not often,No,Not really,Yes,Not that I am aware of,Rarely,No,I'm not sure,Sort of,Neither agree nor disagree
2/9/2022 12:18:24,CCMS,One to three years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/11/2022 13:32:30,CCMS,Less than one year,No,I'm not sure,I'm not sure,Yes,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
2/17/2022 13:02:12,CCMS,One to three years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/17/2022 14:52:05,CCMS,Less than one year,Yes,Yes,I'm not sure,Often,No,Yes,Yes,Not that I am aware of,Absolutely,No,I'm not sure,Sort of,Neither agree nor disagree
2/17/2022 14:55:28,CCMS,One to three years,Yes,I'm not sure,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 15:30:27,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/17/2022 16:26:55,CCMS,Less than one year,Yes,I'm not sure,I'm not sure,Yes,No,Somewhat,Yes,Yes,On occasion,No,I'm not sure,Yes,Neither agree nor disagree
2/23/2022 11:59:04,CCMS,Less than one year,No,I'm not sure,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,I'm not sure,Sort of,Neither agree nor disagree
2/23/2022 12:00:28,CCMS,One to three years,Yes,Yes,No,Yes,No,Yes,Yes,Yes,On occasion,Yes,Yes,No,Somewhat agree
2/23/2022 12:01:30,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 12:01:41,CCMS,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/23/2022 12:03:00,CCMS,One to three years,Yes,I'm not sure,Yes,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,No,I'm not sure,Yes,Somewhat Disagree
2/23/2022 12:03:03,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 12:03:14,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 12:03:52,CCMS,One to three years,No,I'm not sure,I'm not sure,Not often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,Sort of,Neither agree nor disagree
2/23/2022 12:04:15,CCMS,Less than one year,Yes,Yes,Yes,Yes,No,Not really,Yes,Yes,On occasion,No,I'm not sure,Yes,Somewhat agree
2/23/2022 12:04:37,CCMS,Less than one year,Yes,I'm not sure,Yes,Often,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/23/2022 12:04:42,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 12:04:54,CCMS,Less than one year,Yes,Yes,No,Yes,No,No,Yes,No,Absolutely,No,I'm not sure,Sort of,Strongly agree
2/23/2022 12:04:56,CCMS,One to three years,No,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/23/2022 12:05:07,CCMS,One to three years,I'm not sure,No,No,Yes,No,Somewhat,Yes,No,Never,No,No,Sort of,Somewhat Disagree
2/23/2022 12:05:21,CCMS,One to three years,No,No,I'm not sure,Not often,No,Somewhat,"No, but I'm willing to learn how to do this better",No,Rarely,Yes,I'm not sure,Sort of,Neither agree nor disagree
2/23/2022 12:06:06,CCMS,One to three years,Yes,I'm not sure,Yes,Yes,No,Somewhat,Yes,Yes,On occasion,No,I'm not sure,Sort of,Somewhat agree
2/23/2022 12:07:27,CCMS,One to three years,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,No,I'm not sure,Yes,Neither agree nor disagree
2/23/2022 12:09:22,CCMS,Less than one year,I'm not sure,Yes,Yes,Yes,No,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,Yes,I'm not sure,Yes,Somewhat agree
2/23/2022 12:13:35,CCMS,,No,No,No,Not often,No,No,Yes,No,Never,No,I'm not sure,No,Strongly disagree
2/23/2022 12:13:36,CCMS,One to three years,Yes,Yes,Yes,Often,Yes,Yes,Yes,Yes,Rarely,Yes,Yes,Yes,Somewhat agree
2/23/2022 12:15:35,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Sort of,Strongly agree
2/23/2022 12:23:00,CCMS,Less than one year,Yes,Yes,Yes,Not often,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,I'm not sure,Sort of,Somewhat agree
2/23/2022 12:23:46,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 12:34:31,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/23/2022 12:34:59,CCMS,Less than one year,No,I'm not sure,I'm not sure,Yes,No,Yes,Yes,Not that I am aware of,Never,No,I'm not sure,Sort of,Somewhat Disagree
2/23/2022 12:54:59,CCMS,Less than one year,No,Yes,No,Often,No,Somewhat,,Not that I am aware of,On occasion,Yes,Yes,Sort of,Strongly disagree
2/23/2022 12:57:27,CCMS,One to three years,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/23/2022 13:18:18,CCMS,One to three years,Yes,Yes,Yes,Not often,No,Not really,Yes,Yes,On occasion,Yes,I'm not sure,Sort of,Somewhat Disagree
2/23/2022 13:27:32,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 13:33:38,CCMS,Three to six years,Yes,No,Yes,Yes,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
2/23/2022 13:37:13,CCMS,One to three years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/23/2022 14:02:13,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 14:30:03,CCMS,Less than one year,Yes,Yes,Yes,Often,Yes,Somewhat,Yes,Not that I am aware of,Rarely,Yes,I'm not sure,Yes,Strongly agree
2/23/2022 14:48:24,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/23/2022 15:08:14,CCMS,One to three years,No,No,No,Yes,Yes,Somewhat,Yes,Not that I am aware of,Never,Yes,I'm not sure,Sort of,Somewhat agree
2/23/2022 15:37:06,CCMS,Less than one year,Yes,Yes,I'm not sure,Not often,Yes,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,No,Somewhat agree
2/23/2022 16:29:24,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 16:53:29,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,Yes,Yes,Strongly agree
2/23/2022 17:08:23,CCMS,One to three years,Yes,Yes,I'm not sure,Often,Yes,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
2/23/2022 19:09:15,CCMS,One to three years,Yes,Yes,I'm not sure,No,No,Not really,"No, but I'm willing to learn how to do this better",Not that I am aware of,Rarely,No,I'm not sure,Sort of,Neither agree nor disagree
2/23/2022 19:35:17,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/23/2022 20:07:56,CCMS,More than six years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,I'm not sure,Sort of,Strongly disagree
2/23/2022 21:13:13,CCMS,One to three years,No,Yes,Yes,Yes,No,Not really,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat Disagree
2/23/2022 21:15:05,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/24/2022 7:53:33,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/24/2022 7:56:27,CCMS,One to three years,No,Yes,I'm not sure,Yes,Yes,Yes,Yes,Not that I am aware of,Never,Yes,Yes,Yes,Strongly disagree
2/24/2022 8:04:27,CCMS,More than six years,I'm not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
2/24/2022 8:11:39,CCMS,One to three years,Yes,Yes,No,Yes,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Somewhat agree
2/24/2022 9:02:11,CCMS,One to three years,No,I'm not sure,Yes,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
2/24/2022 9:16:15,CCMS,Three to six years,I'm not sure,No,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,No,I'm not sure,Sort of,Neither agree nor disagree
2/24/2022 10:25:03,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
2/24/2022 13:22:20,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,I'm not sure,Yes,Somewhat agree
2/24/2022 15:59:47,CCMS,Less than one year,Yes,Yes,Yes,Yes,No,Somewhat,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Sort of,Strongly agree
2/24/2022 16:34:43,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,No,I'm not sure,Yes,Somewhat agree
2/24/2022 18:38:12,CCMS,Less than one year,Yes,Yes,Yes,Often,Yes,Somewhat,Yes,No,Absolutely,No,I'm not sure,Sort of,Somewhat agree
2/24/2022 21:42:26,CCMS,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,On occasion,Yes,Yes,Yes,Somewhat agree
2/25/2022 15:26:19,CCMS,Less than one year,Yes,I'm not sure,Yes,Often,No,Not really,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
2/26/2022 17:05:37,CCMS,One to three years,I'm not sure,I'm not sure,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Somewhat agree
2/27/2022 20:02:39,CCMS,One to three years,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
2/28/2022 22:26:48,CCMS,One to three years,No,Yes,I'm not sure,Not often,Yes,Not really,Yes,Not that I am aware of,On occasion,No,I'm not sure,No,Strongly disagree
3/1/2022 11:00:18,CCMS,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
3/2/2022 12:49:50,CCMS,Three to six years,Yes,Yes,Yes,Yes,No,Not really,Yes,Yes,On occasion,Yes,I'm not sure,Sort of,Somewhat Disagree
1/25/2022 14:35:12,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Strongly agree
1/25/2022 15:46:50,Harrison K-8,One to three years,No,No,I'm not sure,Often,Yes,Not really,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,No,Sort of,Neither agree nor disagree
1/25/2022 15:48:27,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/25/2022 15:49:13,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/25/2022 15:59:37,Harrison K-8,More than six years,I'm not sure,No,I'm not sure,Often,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
1/25/2022 16:14:29,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Somewhat agree
1/25/2022 16:17:13,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/25/2022 16:19:42,Harrison K-8,Three to six years,Yes,Yes,Yes,Not often,Yes,Somewhat,Yes,Yes,Rarely,Yes,Yes,Yes,Somewhat agree
1/25/2022 16:23:24,Harrison K-8,Three to six years,No,Yes,I'm not sure,Often,Yes,Somewhat,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Neither agree nor disagree
1/25/2022 16:47:35,Harrison K-8,One to three years,Yes,Yes,I'm not sure,Often,No,Yes,Yes,Yes,Absolutely,No,I'm not sure,Sort of,Neither agree nor disagree
1/25/2022 16:58:56,Harrison K-8,More than six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,I'm not sure,Sort of,Somewhat agree
1/25/2022 16:59:19,Harrison K-8,One to three years,Yes,Yes,I'm not sure,Not often,No,Somewhat,"No, but I'm willing to learn how to do this better",Not that I am aware of,Never,Yes,I'm not sure,Sort of,Somewhat agree
1/25/2022 17:36:17,Harrison K-8,One to three years,,Yes,,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Neither agree nor disagree
1/25/2022 17:36:21,Harrison K-8,Less than one year,Yes,Yes,No,Yes,No,Somewhat,Yes,No,Absolutely,No,I'm not sure,Sort of,Somewhat agree
1/25/2022 18:05:54,Harrison K-8,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,On occasion,Yes,Yes,Yes,Somewhat agree
1/25/2022 18:11:04,Harrison K-8,More than six years,Yes,I'm not sure,No,Yes,Yes,Somewhat,"Yes, but I'd like to learn more about how to do this",Yes,Rarely,No,I'm not sure,Sort of,Somewhat Disagree
1/25/2022 18:26:50,Harrison K-8,More than six years,I'm not sure,I'm not sure,No,Not often,No,Not really,Yes,Not that I am aware of,Rarely,No,I'm not sure,Yes,Neither agree nor disagree
1/25/2022 20:17:56,Harrison K-8,Less than one year,Yes,I'm not sure,Yes,Yes,No,Yes,Yes,Yes,Absolutely,Yes,Yes,Sort of,Somewhat agree
1/26/2022 0:24:08,Harrison K-8,More than six years,I'm not sure,No,No,No,No,No,No,No,Never,No,No,No,Strongly disagree
1/26/2022 4:39:45,Harrison K-8,Less than one year,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but I'd like to learn more about how to do this",Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/26/2022 7:04:30,Harrison K-8,More than six years,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,On occasion,Yes,Yes,No,Somewhat agree
1/26/2022 7:48:54,Harrison K-8,One to three years,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/26/2022 8:05:07,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,On occasion,Yes,I'm not sure,Yes,Strongly agree
1/26/2022 8:34:00,Harrison K-8,Less than one year,Yes,Yes,I'm not sure,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Somewhat agree
1/26/2022 8:34:18,Harrison K-8,One to three years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolutely,Yes,Yes,Yes,Strongly agree
1/26/2022 8:48:36,Harrison K-8,One to three years,Yes,I'm not sure,No,Not often,No,No,"Yes, but I'd like to learn more about how to do this",Not that I am aware of,Rarely,No,I'm not sure,No,Somewhat Disagree
1/26/2022 9:41:20,Harrison K-8,More than six years,Yes,Yes,I'm not sure,Often,Yes,Somewhat,Yes,Yes,Absolutely,Yes,Yes,Sort of,Neither agree nor disagree
1/26/2022 11:48:34,Harrison K-8,Three to six years,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not that I am aware of,Absolutely,Yes,Yes,Yes,Somewhat agree
1/26/2022 14:06:49,Harrison K-8,Three to six years,Yes,Yes,I'm not sure,Yes,Yes,Somewhat,Yes,Not that I am aware of,On occasion,No,I'm not sure,Yes,Somewhat agree
1/26/2022 15:05:38,Harrison K-8,One to three years,Yes,No,I'm not sure,Yes,,Yes,Yes,Yes,Rarely,No,I'm not sure,Sort of,Neither agree nor disagree
1/26/2022 17:07:46,Harrison K-8,Three to six years,No,Yes,,Yes,,Yes,Yes,Yes,Absolutely,Yes,,Sort of,Somewhat agree
1/26/2022 20:45:30,Harrison K-8,Less than one year,Yes,Yes,Yes,Often,Yes,Yes,Yes,Not that I am aware of,On occasion,Yes,Yes,Sort of,Somewhat agree
1/27/2022 10:50:35,Harrison K-8,One to three years,No,No,I'm not sure,No,No,No,Yes,No,Never,Yes,No,No,Strongly disagree
1/27/2022 12:13:33,Harrison K-8,Three to six years,Yes,I'm not sure,Yes,Yes,No,Somewhat,Yes,Yes,On occasion,Yes,Yes,Sort of,Somewhat agree
